'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FERNY CREEK Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FERNY CREEK,01/10/2025,1.7,1.2, ,11.8,6.1,95,66,2.50,9.91
FERNY CREEK,02/10/2025,1.1,6.0, ,8.7,4.7,100,68,1.80,6.17
FERNY CREEK,03/10/2025,1.5,8.4, ,13.2,6.6,100,87,1.12,10.13
FERNY CREEK,04/10/2025,3.2,0.0, ,19.8,7.2,100,47,1.38,21.64
FERNY CREEK,05/10/2025,2.8,0.2, ,20.9,12.8,100,33,2.74,9.76
FERNY CREEK,06/10/2025,2.2,13.4, ,13.2,6.8,100,50,1.23,15.15
FERNY CREEK,07/10/2025,2.8,0.2, ,15.1,4.5,100,48,1.66,21.43
FERNY CREEK,08/10/2025,2.5,0.0, ,18.8,7.5,77,47,1.71,11.69
FERNY CREEK,09/10/2025,2.6,0.0, ,16.3,8.9,89,46,1.75,14.68
FERNY CREEK,10/10/2025,3.7,0.0, ,18.4,9.8,66,40,3.26,17.89
FERNY CREEK,11/10/2025,2.6,0.0, ,17.1,9.1,100,37,2.19,12.37
FERNY CREEK,12/10/2025,1.9,4.6, ,14.1,6.8,100,55,1.56,11.27
FERNY CREEK,13/10/2025,2.3,11.8, ,13.1,3.1,100,51,0.92,16.96
FERNY CREEK,14/10/2025,2.6,0.0, ,16.4,4.4,100,49,1.10,18.34
Totals:,,33.5,45.8, ,,,,,, 
